

🖥️四季1080P,#genre#

寰宇新聞台灣台,http://debian.52sw.top:1988/4gtv/280

民視新聞台,http://debian.52sw.top:1988/4gtv/31

東森新聞台,http://debian.52sw.top:1988/4gtv/292

寰宇新聞台,http://debian.52sw.top:1988/4gtv/36

TVBS新聞台,http://debian.52sw.top:1988/4gtv/291

TVBS HD,http://debian.52sw.top:1988/4gtv/183

中視新聞,http://debian.52sw.top:1988/4gtv/33

華視新聞,http://debian.52sw.top:1988/4gtv/34

鏡電視新聞台,http://debian.52sw.top:1988/4gtv/268

中天新聞台,http://debian.52sw.top:1988/4gtv/30

三立新聞iNEWS,http://debian.52sw.top:1988/4gtv/229

原住民族電視台,http://debian.52sw.top:1988/4gtv/273

半島國際新聞台,http://debian.52sw.top:1988/4gtv/85

VOA美國之音,http://debian.52sw.top:1988/4gtv/86

DW德國之聲,http://debian.52sw.top:1988/4gtv/226

新唐人亞太台,http://debian.52sw.top:1988/4gtv/223

東森財經新聞台,http://debian.52sw.top:1988/4gtv/293

寰宇財經台,http://debian.52sw.top:1988/4gtv/281

SBN全球財經台,http://debian.52sw.top:1988/4gtv/224

CNBC Asia 財經台,http://debian.52sw.top:1988/4gtv/235

國會頻道2,http://debian.52sw.top:1988/4gtv/171

國會頻道1,http://debian.52sw.top:1988/4gtv/170

TVBS台劇台,http://debian.52sw.top:1988/4gtv/285

My Cinema Europe HD 我的歐洲電影,http://debian.52sw.top:1988/4gtv/176

東森購物一台,http://debian.52sw.top:1988/4gtv/173

車迷TV,http://debian.52sw.top:1988/4gtv/160

亞洲旅遊台,http://debian.52sw.top:1988/4gtv/250

東森購物二台,http://debian.52sw.top:1988/4gtv/174

TVBS綜藝台,http://debian.52sw.top:1988/4gtv/284

ARIRANG阿里郎頻道,http://debian.52sw.top:1988/4gtv/189

東森購物三台,http://debian.52sw.top:1988/4gtv/287

LiveABC互動英語頻道,http://debian.52sw.top:1988/4gtv/188

電影免費看 2台,http://debian.52sw.top:1988/4gtv/245

東森購物四台,http://debian.52sw.top:1988/4gtv/286

ELTV生活英語台,http://debian.52sw.top:1988/4gtv/106

戲劇免費看 1台,http://debian.52sw.top:1988/4gtv/270

智林體育台,http://debian.52sw.top:1988/4gtv/58

時尚運動X,http://debian.52sw.top:1988/4gtv/69

滾動力rollor,http://debian.52sw.top:1988/4gtv/249

愛爾達生活旅遊台,http://debian.52sw.top:1988/4gtv/237

LUXE TV Channel,http://debian.52sw.top:1988/4gtv/175

TV5MONDE STYLE HD 生活時尚,http://debian.52sw.top:1988/4gtv/178

花系列 經典劇場,http://debian.52sw.top:1988/4gtv/279

超人力霸王整套看,http://debian.52sw.top:1988/4gtv/278

戲劇免費看 2台,http://debian.52sw.top:1988/4gtv/244

精選動漫台,http://debian.52sw.top:1988/4gtv/204

兒童卡通台,http://debian.52sw.top:1988/4gtv/269

經典卡通台,http://debian.52sw.top:1988/4gtv/202

經典電影台,http://debian.52sw.top:1988/4gtv/201

寰宇新聞台灣台,http://debian.52sw.top:1988/4gtv/280

ROCK Entertainment,http://debian.52sw.top:1988/4gtv/275

東森購物一台,http://debian.52sw.top:1988/4gtv/173

DreamWorks 夢工廠動畫,http://debian.52sw.top:1988/4gtv/282

豬哥亮歌廳秀,http://debian.52sw.top:1988/4gtv/113

東森購物二台,http://debian.52sw.top:1988/4gtv/174

ROCK Action,http://debian.52sw.top:1988/4gtv/180

金光布袋戲,http://debian.52sw.top:1988/4gtv/236

東森購物三台,http://debian.52sw.top:1988/4gtv/287

民視,http://debian.52sw.top:1988/4gtv/3

中視,http://debian.52sw.top:1988/4gtv/4

東森購物四台,http://debian.52sw.top:1988/4gtv/286

華視,http://debian.52sw.top:1988/4gtv/6

大愛電視,http://debian.52sw.top:1988/4gtv/209

戲劇免費看 1台,http://debian.52sw.top:1988/4gtv/270

兒童卡通台,http://debian.52sw.top:1988/4gtv/269

精選動漫台,http://debian.52sw.top:1988/4gtv/204

經典電影台,http://debian.52sw.top:1988/4gtv/201

戲劇免費看 2台,http://debian.52sw.top:1988/4gtv/244

電影免費看 2台,http://debian.52sw.top:1988/4gtv/245

經典卡通台,http://debian.52sw.top:1988/4gtv/202

Nick Jr. 兒童頻道,http://debian.52sw.top:1988/4gtv/219

原住民族電視台,http://debian.52sw.top:1988/4gtv/273

fun探索娛樂台,http://debian.52sw.top:1988/4gtv/274

客家電視台,http://debian.52sw.top:1988/4gtv/107

民視新聞台,http://debian.52sw.top:1988/4gtv/31

鏡電視新聞台,http://debian.52sw.top:1988/4gtv/268

中視新聞,http://debian.52sw.top:1988/4gtv/33

亞洲旅遊台,http://debian.52sw.top:1988/4gtv/250

滾動力rollor,http://debian.52sw.top:1988/4gtv/249

TechStorm,http://debian.52sw.top:1988/4gtv/181

民視第一台,http://debian.52sw.top:1988/4gtv/1

民視台灣台,http://debian.52sw.top:1988/4gtv/2

民視綜藝台,http://debian.52sw.top:1988/4gtv/16

三立新聞iNEWS,http://debian.52sw.top:1988/4gtv/229

民視影劇台,http://debian.52sw.top:1988/4gtv/24

Love Nature,http://debian.52sw.top:1988/4gtv/139

采昌影劇台,http://debian.52sw.top:1988/4gtv/25

靖天綜合台,http://debian.52sw.top:1988/4gtv/21

靖天映畫,http://debian.52sw.top:1988/4gtv/42

公視戲劇,http://debian.52sw.top:1988/4gtv/7

靖天育樂台,http://debian.52sw.top:1988/4gtv/83

尼克兒童頻道,http://debian.52sw.top:1988/4gtv/185

影迷數位電影台,http://debian.52sw.top:1988/4gtv/40

智林體育台,http://debian.52sw.top:1988/4gtv/58

靖天日本台,http://debian.52sw.top:1988/4gtv/22

靖天電影台,http://debian.52sw.top:1988/4gtv/82

中視菁采台,http://debian.52sw.top:1988/4gtv/123

三立綜合台,http://debian.52sw.top:1988/4gtv/169

History 歷史頻道,http://debian.52sw.top:1988/4gtv/214

博斯網球台,http://debian.52sw.top:1988/4gtv/52

博斯高球台,http://debian.52sw.top:1988/4gtv/48

TechStorm,http://debian.52sw.top:1988/4gtv/181

GINX Esports TV,http://debian.52sw.top:1988/4gtv/179

博斯運動一台,http://debian.52sw.top:1988/4gtv/50

博斯無限台,http://debian.52sw.top:1988/4gtv/51

TRACE Sport Stars,http://debian.52sw.top:1988/4gtv/57

智林體育台,http://debian.52sw.top:1988/4gtv/58

時尚運動X,http://debian.52sw.top:1988/4gtv/69

車迷TV,http://debian.52sw.top:1988/4gtv/160

DreamWorks 夢工廠動畫,http://debian.52sw.top:1988/4gtv/282

經典卡通台,http://debian.52sw.top:1988/4gtv/202

精選動漫台,http://debian.52sw.top:1988/4gtv/204

尼克兒童頻道,http://debian.52sw.top:1988/4gtv/185

MOMO親子台,http://debian.52sw.top:1988/4gtv/231

Nick Jr. 兒童頻道,http://debian.52sw.top:1988/4gtv/219

達文西頻道,http://debian.52sw.top:1988/4gtv/11

靖天卡通台,http://debian.52sw.top:1988/4gtv/15

靖洋卡通Nice Bingo,http://debian.52sw.top:1988/4gtv/59

i-Fun動漫台,http://debian.52sw.top:1988/4gtv/60

ELTV生活英語台,http://debian.52sw.top:1988/4gtv/106

戲劇免費看 1台,http://debian.52sw.top:1988/4gtv/270

戲劇免費看 2台,http://debian.52sw.top:1988/4gtv/244

電影免費看 2台,http://debian.52sw.top:1988/4gtv/245

經典電影台,http://debian.52sw.top:1988/4gtv/201

